sexo,edad,enfermedades_cronicas,si_o_no,total,ano,edad_cat,linea
Hombres,De 15 a 24 años,Artrosis,Sí,0.07,2014,15-24,H2014
Hombres,De 25 a 34 años,Artrosis,Sí,0.66,2014,25-34,H2014
Hombres,De 35 a 44 años,Artrosis,Sí,2.07,2014,35-44,H2014
Hombres,De 45 a 54 años,Artrosis,Sí,6.97,2014,45-54,H2014
Hombres,De 55 a 64 años,Artrosis,Sí,17.64,2014,55-64,H2014
Hombres,De 65 a 74 años,Artrosis,Sí,27.94,2014,65-74,H2014
Hombres,De 75 a 84 años,Artrosis,Sí,36.4,2014,75-84,H2014
Hombres,De 85 y más años,Artrosis,Sí,41.52,2014,85 y más años,H2014
Mujeres,De 15 a 24 años,Artrosis,Sí,0.37,2014,15-24,M2014
Mujeres,De 25 a 34 años,Artrosis,Sí,0.92,2014,25-34,M2014
Mujeres,De 35 a 44 años,Artrosis,Sí,4.59,2014,35-44,M2014
Mujeres,De 45 a 54 años,Artrosis,Sí,14.42,2014,45-54,M2014
Mujeres,De 55 a 64 años,Artrosis,Sí,35.37,2014,55-64,M2014
Mujeres,De 65 a 74 años,Artrosis,Sí,53.19,2014,65-74,M2014
Mujeres,De 75 a 84 años,Artrosis,Sí,62.63,2014,75-84,M2014
Mujeres,De 85 y más años,Artrosis,Sí,65.63,2014,85 y más años,M2014
Hombres,De 15 a 24 años,Artrosis,Sí,0.36,2020,15-24,H2020
Hombres,De 25 a 34 años,Artrosis,Sí,0.55,2020,25-34,H2020
Hombres,De 35 a 44 años,Artrosis,Sí,2.38,2020,35-44,H2020
Hombres,De 45 a 54 años,Artrosis,Sí,5.36,2020,45-54,H2020
Hombres,De 55 a 64 años,Artrosis,Sí,12.54,2020,55-64,H2020
Hombres,De 65 a 74 años,Artrosis,Sí,19.67,2020,65-74,H2020
Hombres,De 75 a 84 años,Artrosis,Sí,31.44,2020,75-84,H2020
Hombres,De 85 y más años,Artrosis,Sí,35.19,2020,85 y más años,H2020
Mujeres,De 15 a 24 años,Artrosis,Sí,0.15,2020,15-24,M2020
Mujeres,De 25 a 34 años,Artrosis,Sí,1.53,2020,25-34,M2020
Mujeres,De 35 a 44 años,Artrosis,Sí,2.94,2020,35-44,M2020
Mujeres,De 45 a 54 años,Artrosis,Sí,12.11,2020,45-54,M2020
Mujeres,De 55 a 64 años,Artrosis,Sí,27.96,2020,55-64,M2020
Mujeres,De 65 a 74 años,Artrosis,Sí,41.78,2020,65-74,M2020
Mujeres,De 75 a 84 años,Artrosis,Sí,56.25,2020,75-84,M2020
Mujeres,De 85 y más años,Artrosis,Sí,67.38,2020,85 y más años,M2020
Hombres,De 15 a 24 años,Bronquitis crónica (EPOC),Sí,0.23,2014,15-24,H2014
Hombres,De 25 a 34 años,Bronquitis crónica (EPOC),Sí,1.39,2014,25-34,H2014
Hombres,De 35 a 44 años,Bronquitis crónica (EPOC),Sí,1.21,2014,35-44,H2014
Hombres,De 45 a 54 años,Bronquitis crónica (EPOC),Sí,1.87,2014,45-54,H2014
Hombres,De 55 a 64 años,Bronquitis crónica (EPOC),Sí,4.34,2014,55-64,H2014
Hombres,De 65 a 74 años,Bronquitis crónica (EPOC),Sí,7.64,2014,65-74,H2014
Hombres,De 75 a 84 años,Bronquitis crónica (EPOC),Sí,14.62,2014,75-84,H2014
Hombres,De 85 y más años,Bronquitis crónica (EPOC),Sí,14.04,2014,85 y más años,H2014
Mujeres,De 15 a 24 años,Bronquitis crónica (EPOC),Sí,0.86,2014,15-24,M2014
Mujeres,De 25 a 34 años,Bronquitis crónica (EPOC),Sí,0.98,2014,25-34,M2014
Mujeres,De 35 a 44 años,Bronquitis crónica (EPOC),Sí,1.16,2014,35-44,M2014
Mujeres,De 45 a 54 años,Bronquitis crónica (EPOC),Sí,2.16,2014,45-54,M2014
Mujeres,De 55 a 64 años,Bronquitis crónica (EPOC),Sí,4.14,2014,55-64,M2014
Mujeres,De 65 a 74 años,Bronquitis crónica (EPOC),Sí,5.67,2014,65-74,M2014
Mujeres,De 75 a 84 años,Bronquitis crónica (EPOC),Sí,6.7,2014,75-84,M2014
Mujeres,De 85 y más años,Bronquitis crónica (EPOC),Sí,10.44,2014,85 y más años,M2014
Hombres,De 15 a 24 años,Bronquitis crónica (EPOC),Sí,0.45,2020,15-24,H2020
Hombres,De 25 a 34 años,Bronquitis crónica (EPOC),Sí,0.89,2020,25-34,H2020
Hombres,De 35 a 44 años,Bronquitis crónica (EPOC),Sí,1.05,2020,35-44,H2020
Hombres,De 45 a 54 años,Bronquitis crónica (EPOC),Sí,1.5,2020,45-54,H2020
Hombres,De 55 a 64 años,Bronquitis crónica (EPOC),Sí,3.53,2020,55-64,H2020
Hombres,De 65 a 74 años,Bronquitis crónica (EPOC),Sí,5.49,2020,65-74,H2020
Hombres,De 75 a 84 años,Bronquitis crónica (EPOC),Sí,8.73,2020,75-84,H2020
Hombres,De 85 y más años,Bronquitis crónica (EPOC),Sí,9.3,2020,85 y más años,H2020
Mujeres,De 15 a 24 años,Bronquitis crónica (EPOC),Sí,0.96,2020,15-24,M2020
Mujeres,De 25 a 34 años,Bronquitis crónica (EPOC),Sí,0.9,2020,25-34,M2020
Mujeres,De 35 a 44 años,Bronquitis crónica (EPOC),Sí,1.28,2020,35-44,M2020
Mujeres,De 45 a 54 años,Bronquitis crónica (EPOC),Sí,1.63,2020,45-54,M2020
Mujeres,De 55 a 64 años,Bronquitis crónica (EPOC),Sí,3.57,2020,55-64,M2020
Mujeres,De 65 a 74 años,Bronquitis crónica (EPOC),Sí,4.87,2020,65-74,M2020
Mujeres,De 75 a 84 años,Bronquitis crónica (EPOC),Sí,5.98,2020,75-84,M2020
Mujeres,De 85 y más años,Bronquitis crónica (EPOC),Sí,7.93,2020,85 y más años,M2020
Hombres,De 15 a 24 años,Colesterol alto,Sí,0.36,2014,15-24,H2014
Hombres,De 25 a 34 años,Colesterol alto,Sí,2.14,2014,25-34,H2014
Hombres,De 35 a 44 años,Colesterol alto,Sí,10.55,2014,35-44,H2014
Hombres,De 45 a 54 años,Colesterol alto,Sí,18.92,2014,45-54,H2014
Hombres,De 55 a 64 años,Colesterol alto,Sí,26,2014,55-64,H2014
Hombres,De 65 a 74 años,Colesterol alto,Sí,32.82,2014,65-74,H2014
Hombres,De 75 a 84 años,Colesterol alto,Sí,31.72,2014,75-84,H2014
Hombres,De 85 y más años,Colesterol alto,Sí,26.02,2014,85 y más años,H2014
Mujeres,De 15 a 24 años,Colesterol alto,Sí,1.62,2014,15-24,M2014
Mujeres,De 25 a 34 años,Colesterol alto,Sí,3.16,2014,25-34,M2014
Mujeres,De 35 a 44 años,Colesterol alto,Sí,5.03,2014,35-44,M2014
Mujeres,De 45 a 54 años,Colesterol alto,Sí,15.28,2014,45-54,M2014
Mujeres,De 55 a 64 años,Colesterol alto,Sí,31.37,2014,55-64,M2014
Mujeres,De 65 a 74 años,Colesterol alto,Sí,38.23,2014,65-74,M2014
Mujeres,De 75 a 84 años,Colesterol alto,Sí,39.27,2014,75-84,M2014
Mujeres,De 85 y más años,Colesterol alto,Sí,27.29,2014,85 y más años,M2014
Hombres,De 15 a 24 años,Colesterol alto,Sí,0.53,2020,15-24,H2020
Hombres,De 25 a 34 años,Colesterol alto,Sí,3.92,2020,25-34,H2020
Hombres,De 35 a 44 años,Colesterol alto,Sí,7.48,2020,35-44,H2020
Hombres,De 45 a 54 años,Colesterol alto,Sí,14.87,2020,45-54,H2020
Hombres,De 55 a 64 años,Colesterol alto,Sí,24.55,2020,55-64,H2020
Hombres,De 65 a 74 años,Colesterol alto,Sí,33.67,2020,65-74,H2020
Hombres,De 75 a 84 años,Colesterol alto,Sí,34.24,2020,75-84,H2020
Hombres,De 85 y más años,Colesterol alto,Sí,31.36,2020,85 y más años,H2020
Mujeres,De 15 a 24 años,Colesterol alto,Sí,0.25,2020,15-24,M2020
Mujeres,De 25 a 34 años,Colesterol alto,Sí,2.68,2020,25-34,M2020
Mujeres,De 35 a 44 años,Colesterol alto,Sí,4.73,2020,35-44,M2020
Mujeres,De 45 a 54 años,Colesterol alto,Sí,9.48,2020,45-54,M2020
Mujeres,De 55 a 64 años,Colesterol alto,Sí,23.93,2020,55-64,M2020
Mujeres,De 65 a 74 años,Colesterol alto,Sí,33.67,2020,65-74,M2020
Mujeres,De 75 a 84 años,Colesterol alto,Sí,35.63,2020,75-84,M2020
Mujeres,De 85 y más años,Colesterol alto,Sí,35.54,2020,85 y más años,M2020
Hombres,De 15 a 24 años,Depresión,Sí,0.57,2014,15-24,H2014
Hombres,De 25 a 34 años,Depresión,Sí,2.22,2014,25-34,H2014
Hombres,De 35 a 44 años,Depresión,Sí,3.22,2014,35-44,H2014
Hombres,De 45 a 54 años,Depresión,Sí,4.8,2014,45-54,H2014
Hombres,De 55 a 64 años,Depresión,Sí,5.49,2014,55-64,H2014
Hombres,De 65 a 74 años,Depresión,Sí,5.42,2014,65-74,H2014
Hombres,De 75 a 84 años,Depresión,Sí,7.37,2014,75-84,H2014
Hombres,De 85 y más años,Depresión,Sí,7.03,2014,85 y más años,H2014
Mujeres,De 15 a 24 años,Depresión,Sí,1.96,2014,15-24,M2014
Mujeres,De 25 a 34 años,Depresión,Sí,3.99,2014,25-34,M2014
Mujeres,De 35 a 44 años,Depresión,Sí,6.09,2014,35-44,M2014
Mujeres,De 45 a 54 años,Depresión,Sí,9.48,2014,45-54,M2014
Mujeres,De 55 a 64 años,Depresión,Sí,15.04,2014,55-64,M2014
Mujeres,De 65 a 74 años,Depresión,Sí,16.56,2014,65-74,M2014
Mujeres,De 75 a 84 años,Depresión,Sí,18.37,2014,75-84,M2014
Mujeres,De 85 y más años,Depresión,Sí,15.92,2014,85 y más años,M2014
Hombres,De 15 a 24 años,Depresión,Sí,1.39,2020,15-24,H2020
Hombres,De 25 a 34 años,Depresión,Sí,1.39,2020,25-34,H2020
Hombres,De 35 a 44 años,Depresión,Sí,2.45,2020,35-44,H2020
Hombres,De 45 a 54 años,Depresión,Sí,3.82,2020,45-54,H2020
Hombres,De 55 a 64 años,Depresión,Sí,4.36,2020,55-64,H2020
Hombres,De 65 a 74 años,Depresión,Sí,4.38,2020,65-74,H2020
Hombres,De 75 a 84 años,Depresión,Sí,4.82,2020,75-84,H2020
Hombres,De 85 y más años,Depresión,Sí,7.45,2020,85 y más años,H2020
Mujeres,De 15 a 24 años,Depresión,Sí,1.63,2020,15-24,M2020
Mujeres,De 25 a 34 años,Depresión,Sí,3.35,2020,25-34,M2020
Mujeres,De 35 a 44 años,Depresión,Sí,3.67,2020,35-44,M2020
Mujeres,De 45 a 54 años,Depresión,Sí,6.73,2020,45-54,M2020
Mujeres,De 55 a 64 años,Depresión,Sí,9.41,2020,55-64,M2020
Mujeres,De 65 a 74 años,Depresión,Sí,11.95,2020,65-74,M2020
Mujeres,De 75 a 84 años,Depresión,Sí,15.2,2020,75-84,M2020
Mujeres,De 85 y más años,Depresión,Sí,14.04,2020,85 y más años,M2020
Hombres,De 15 a 24 años,Diabetes,Sí,0.43,2014,15-24,H2014
Hombres,De 25 a 34 años,Diabetes,Sí,0.76,2014,25-34,H2014
Hombres,De 35 a 44 años,Diabetes,Sí,1.56,2014,35-44,H2014
Hombres,De 45 a 54 años,Diabetes,Sí,5.83,2014,45-54,H2014
Hombres,De 55 a 64 años,Diabetes,Sí,12.8,2014,55-64,H2014
Hombres,De 65 a 74 años,Diabetes,Sí,20.35,2014,65-74,H2014
Hombres,De 75 a 84 años,Diabetes,Sí,22.23,2014,75-84,H2014
Hombres,De 85 y más años,Diabetes,Sí,17.74,2014,85 y más años,H2014
Mujeres,De 15 a 24 años,Diabetes,Sí,0.71,2014,15-24,M2014
Mujeres,De 25 a 34 años,Diabetes,Sí,1.14,2014,25-34,M2014
Mujeres,De 35 a 44 años,Diabetes,Sí,1.07,2014,35-44,M2014
Mujeres,De 45 a 54 años,Diabetes,Sí,4.32,2014,45-54,M2014
Mujeres,De 55 a 64 años,Diabetes,Sí,8.12,2014,55-64,M2014
Mujeres,De 65 a 74 años,Diabetes,Sí,15.46,2014,65-74,M2014
Mujeres,De 75 a 84 años,Diabetes,Sí,19.65,2014,75-84,M2014
Mujeres,De 85 y más años,Diabetes,Sí,18.61,2014,85 y más años,M2014
Hombres,De 15 a 24 años,Diabetes,Sí,0.57,2020,15-24,H2020
Hombres,De 25 a 34 años,Diabetes,Sí,1.01,2020,25-34,H2020
Hombres,De 35 a 44 años,Diabetes,Sí,1.82,2020,35-44,H2020
Hombres,De 45 a 54 años,Diabetes,Sí,4.72,2020,45-54,H2020
Hombres,De 55 a 64 años,Diabetes,Sí,12.36,2020,55-64,H2020
Hombres,De 65 a 74 años,Diabetes,Sí,22.78,2020,65-74,H2020
Hombres,De 75 a 84 años,Diabetes,Sí,25.37,2020,75-84,H2020
Hombres,De 85 y más años,Diabetes,Sí,23.13,2020,85 y más años,H2020
Mujeres,De 15 a 24 años,Diabetes,Sí,0.25,2020,15-24,M2020
Mujeres,De 25 a 34 años,Diabetes,Sí,0.75,2020,25-34,M2020
Mujeres,De 35 a 44 años,Diabetes,Sí,1.41,2020,35-44,M2020
Mujeres,De 45 a 54 años,Diabetes,Sí,3.81,2020,45-54,M2020
Mujeres,De 55 a 64 años,Diabetes,Sí,7.92,2020,55-64,M2020
Mujeres,De 65 a 74 años,Diabetes,Sí,15.15,2020,65-74,M2020
Mujeres,De 75 a 84 años,Diabetes,Sí,22.81,2020,75-84,M2020
Mujeres,De 85 y más años,Diabetes,Sí,20.95,2020,85 y más años,M2020
Hombres,De 15 a 24 años,Tensión alta,Sí,0.74,2014,15-24,H2014
Hombres,De 25 a 34 años,Tensión alta,Sí,2.6,2014,25-34,H2014
Hombres,De 35 a 44 años,Tensión alta,Sí,6.35,2014,35-44,H2014
Hombres,De 45 a 54 años,Tensión alta,Sí,18.2,2014,45-54,H2014
Hombres,De 55 a 64 años,Tensión alta,Sí,31.91,2014,55-64,H2014
Hombres,De 65 a 74 años,Tensión alta,Sí,42.87,2014,65-74,H2014
Hombres,De 75 a 84 años,Tensión alta,Sí,47.75,2014,75-84,H2014
Hombres,De 85 y más años,Tensión alta,Sí,44.66,2014,85 y más años,H2014
Mujeres,De 15 a 24 años,Tensión alta,Sí,0.72,2014,15-24,M2014
Mujeres,De 25 a 34 años,Tensión alta,Sí,3.44,2014,25-34,M2014
Mujeres,De 35 a 44 años,Tensión alta,Sí,4.14,2014,35-44,M2014
Mujeres,De 45 a 54 años,Tensión alta,Sí,11.97,2014,45-54,M2014
Mujeres,De 55 a 64 años,Tensión alta,Sí,24.33,2014,55-64,M2014
Mujeres,De 65 a 74 años,Tensión alta,Sí,46.85,2014,65-74,M2014
Mujeres,De 75 a 84 años,Tensión alta,Sí,55.02,2014,75-84,M2014
Mujeres,De 85 y más años,Tensión alta,Sí,56.53,2014,85 y más años,M2014
Hombres,De 15 a 24 años,Tensión alta,Sí,1.86,2020,15-24,H2020
Hombres,De 25 a 34 años,Tensión alta,Sí,2.23,2020,25-34,H2020
Hombres,De 35 a 44 años,Tensión alta,Sí,4.99,2020,35-44,H2020
Hombres,De 45 a 54 años,Tensión alta,Sí,14.16,2020,45-54,H2020
Hombres,De 55 a 64 años,Tensión alta,Sí,29.74,2020,55-64,H2020
Hombres,De 65 a 74 años,Tensión alta,Sí,47.01,2020,65-74,H2020
Hombres,De 75 a 84 años,Tensión alta,Sí,54.55,2020,75-84,H2020
Hombres,De 85 y más años,Tensión alta,Sí,51.37,2020,85 y más años,H2020
Mujeres,De 15 a 24 años,Tensión alta,Sí,0.2,2020,15-24,M2020
Mujeres,De 25 a 34 años,Tensión alta,Sí,1.17,2020,25-34,M2020
Mujeres,De 35 a 44 años,Tensión alta,Sí,3.23,2020,35-44,M2020
Mujeres,De 45 a 54 años,Tensión alta,Sí,10.78,2020,45-54,M2020
Mujeres,De 55 a 64 años,Tensión alta,Sí,25.57,2020,55-64,M2020
Mujeres,De 65 a 74 años,Tensión alta,Sí,42.58,2020,65-74,M2020
Mujeres,De 75 a 84 años,Tensión alta,Sí,55.82,2020,75-84,M2020
Mujeres,De 85 y más años,Tensión alta,Sí,63.45,2020,85 y más años,M2020
